Index,Hour,Raw_ADC,Moisture_Percent
0,0,1,100.0%
1,0,1,100.0%
2,0,0,100.0%
3,0,0,100.0%
4,1,0,100.0%
5,110,0,100.0%
6,0,0,100.0%
7,0,0,100.0%
8,120,128,100.0%
9,0,0,100.0%
10,0,0,100.0%
11,1,508,100.0%
12,110,0,100.0%
13,0,0,100.0%
14,0,0,100.0%
15,120,144,100.0%
16,0,0,100.0%
17,0,0,100.0%
18,43,3972,3.97%
19,44,3971,4.01%
20,45,3990,3.39%
21,46,3751,11.11%
22,47,3770,10.5%
23,48,3778,10.24%
24,49,3797,9.63%
25,50,3807,9.31%
26,51,3807,9.31%
27,52,3812,9.14%
28,53,3809,9.24%
29,54,3809,9.24%
30,55,3811,9.18%
31,56,3807,9.31%
32,57,3810,9.21%
33,58,3801,9.5%
34,59,3800,9.53%
35,60,3804,9.4%
36,61,3810,9.21%
37,62,3817,8.98%
38,63,3820,8.89%
39,64,3826,8.69%
40,65,3833,8.47%
41,66,3830,8.56%
42,67,2069,65.46%
43,68,1922,70.21%
44,69,1966,68.79%
45,70,2525,50.73%
46,71,2614,47.85%
47,72,2644,46.88%
48,73,2656,46.49%
49,74,2655,46.53%
50,75,2654,46.56%
51,76,2652,46.62%
52,77,2640,47.01%
53,78,2595,48.47%
54,79,2600,48.3%
55,80,2607,48.08%
56,81,2617,47.75%
57,82,2623,47.56%
58,83,2630,47.33%
59,110,0,100.0%
60,0,0,100.0%
61,0,0,100.0%
62,120,288,100.0%
63,0,0,100.0%
64,0,0,100.0%
65,32769,120,100.0%
66,0,0,100.0%
67,0,0,100.0%
68,110,0,100.0%
69,0,0,100.0%
70,0,0,100.0%
71,120,432,100.0%
72,0,0,100.0%
73,0,0,100.0%
74,32769,120,100.0%
75,0,0,100.0%
76,0,0,100.0%
77,120,560,100.0%
78,0,0,100.0%
79,0,0,100.0%
80,32769,120,100.0%
81,0,0,100.0%
82,0,0,100.0%
83,0,0,100.0%
84,1,0,100.0%
85,0,1,100.0%
86,0,0,100.0%
87,120,576,100.0%
88,0,0,100.0%
89,0,0,100.0%
90,32769,120,100.0%
91,0,0,100.0%
92,0,0,100.0%
93,110,0,100.0%
94,0,0,100.0%
95,0,0,100.0%
96,120,720,100.0%
97,0,0,100.0%
98,0,0,100.0%
99,110,0,100.0%
100,0,0,100.0%
101,0,0,100.0%
102,120,864,100.0%
103,0,0,100.0%
104,0,0,100.0%
105,32769,120,100.0%
106,0,0,100.0%
107,0,0,100.0%
108,110,0,100.0%
109,0,0,100.0%
110,0,0,100.0%
111,32769,120,100.0%
112,0,0,100.0%
113,0,0,100.0%
114,110,0,100.0%
115,0,0,100.0%
116,0,0,100.0%
117,120,1136,95.61%
118,0,0,100.0%
119,0,0,100.0%
120,0,1024,99.22%
121,32769,120,100.0%
122,0,0,100.0%
123,0,0,100.0%
124,110,0,100.0%
125,0,0,100.0%
126,0,0,100.0%
127,0,0,100.0%
128,0,1,100.0%
129,0,0,100.0%
130,110,0,100.0%
131,0,0,100.0%
132,0,0,100.0%
133,120,1296,90.44%
134,0,0,100.0%
135,0,0,100.0%
136,32769,120,100.0%
137,0,0,100.0%
138,0,0,100.0%
139,110,0,100.0%
140,0,0,100.0%
141,0,0,100.0%
142,120,1440,85.78%
143,0,0,100.0%
144,0,0,100.0%
145,32769,120,100.0%
146,0,0,100.0%
147,0,0,100.0%
148,120,1568,81.65%
149,0,0,100.0%
150,0,0,100.0%
151,32769,120,100.0%
152,0,0,100.0%
153,0,0,100.0%
154,110,0,100.0%
155,0,0,100.0%
156,0,0,100.0%
157,120,1712,77.0%
158,0,0,100.0%
159,0,0,100.0%
160,32769,248,100.0%
161,0,0,100.0%
162,0,0,100.0%
